PL_NAME,SPEC_TYPE,AUTHORS,NUM_DATAPOINTS,INSTRUMENT,FACILITY,MINWAVELNG,MAXWAVELNG,MINTRANMID,MAXTRANMID,NOTE
HD 189733 b,Emission,Changeat et al. 2022,18,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6237,,,Figure 2
HD 189733 b,Transmission,D&eacute;sert et al. 2011,1,Infrared Array camera (IRAC),Spitzer Space Telescope satellite,3.6,3.6,2454430.3106,2454430.3106,
HD 189733 b,Transmission,Pont et al. 2013,10,Advanced Camera for Surveys,Hubble Space Telescope satellite,0.575,1.025,2453877.209,2453877.209,
HD 189733 b,Transmission,Pont et al. 2013,7,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,7.85,2454039.2228,2455559.5546,
HD 189733 b,Transmission,Pont et al. 2013,1,Multiband Imaging Photometer (MIPS),Spitzer Space Telescope satellite,24.0,24.0,2454398.6056,2454398.6056,
HD 189733 b,Transmission,Pont et al. 2013,22,Near Infrared Camera and Multi-Object Spectrometer,Hubble Space Telescope satellite,1.492,2.468,2454219.9818,2454689.2672,
HD 189733 b,Transmission,Pont et al. 2013,16,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.33,0.6321,2455148.4682,2455334.8098,
HD 189733 b,Transmission,Pont et al. 2013,4,Wide Field Camera 3,Hubble Space Telescope satellite,1.105,1.607,2455443.5237,2455510.0983,
HD 189733 b,Transmission,Gibson et al. 2012,4,Wide Field Camera 3,Hubble Space Telescope satellite,1.105,1.607,,,
HD 189733 b,Transmission,Sing et al. 2011,5,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.33,0.545,,,
HD 189733 b,Transmission,Wyttenbach et al. 2015,1,HARPS Echelle Spectrograph,European Southern Observatory's 3.6 meter Telescope,0.5893,0.5893,,,
HD 189733 b,Transmission,Di Gloria et al. 2015,7,HARPS Echelle Spectrograph,European Southern Observatory's 3.6 meter Telescope,0.395,0.675,,,
HD 189733 b,Transmission,Swain et al. 2008,18,Near Infrared Camera and Multi-Object Spectrometer,Hubble Space Telescope satellite,1.484,2.463,,,
HD 189733 b,Transmission,Angerhausen et al. 2015,2,HIPO,Stratospheric Observatory For Infrared Astronomy,0.4407,0.9222,,,
HD 189733 b,Transmission,Sing et al. 2016,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.55,4.5,,,
HD 189733 b,Transmission,Sing et al. 2016,2,Near Infrared Camera and Multi-Object Spectrometer,Hubble Space Telescope satellite,1.925,2.3,,,
HD 189733 b,Transmission,Sing et al. 2016,20,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.345,1.085,,,
HD 189733 b,Transmission,Sing et al. 2016,29,Wide Field Camera 3,Hubble Space Telescope satellite,1.1279,1.635,,,
HD 189733 b,Transmission,Borsa et al. 2016,7,HARPS Echelle Spectrograph,European Southern Observatory's 3.6 meter Telescope,0.41,0.675,2453988.8034,2453988.8034,
HD 189733 b,Transmission,Barnes et al. 2016,15,HARPS Echelle Spectrograph,European Southern Observatory's 3.6 meter Telescope,0.3934,0.6563,,,
HD 189733 b,Transmission,McCullough et al. 2014,28,Wide Field Camera 3,Hubble Space Telescope satellite,1.1279,1.635,,,
HD 189733 b,Transmission,Cubillos et al. 2023,15,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.2297,0.3044,,,NUV Transmission Spectrum at R=50 (Table A.1)
HD 189733 b,Transmission,Cubillos et al. 2023,3,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.2405,0.295,,,NUV Transmission Spectrum at R=10 (Table A.3)
HD 189733 b,Transmission,Cubillos et al. 2023,10,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.2309,0.303,,,NUV Transmission Spectrum at R=33 (Table A.2)
HD 189733 b,Transmission,Changeat et al. 2022,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Figure 2
HD 189733 b,Transmission,King et al. 2021,2,XMM-Newton Optical Monitor,ESA XMM-Newton X-Ray Multi-Mirror Mission Satellite,0.212,0.291,,,
HD 209458 b,Emission,Evans et al. 2015,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,3.6,,,"Table 4, 2014 Feb 17"
HD 209458 b,Emission,Evans et al. 2015,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,8.0,8.0,,,"Table 4, 2007 Dec 25"
HD 209458 b,Emission,Evans et al. 2015,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,,,"Table 4, 2010 Jan 21"
HD 209458 b,Emission,Evans et al. 2015,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,5.8,5.8,,,"Table 4, 2005 Nov 28"
HD 209458 b,Emission,Knutson et al. 2008,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Table 1
HD 209458 b,Emission,Crossfield et al. 2012,1,Multiband Imaging Photometer (MIPS),Spitzer Space Telescope satellite,24.0,24.0,,,"B. temperature from abstract/text, not Table 5"
HD 209458 b,Emission,Zellem et al. 2014,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,,,eclipse depth taken from Abstract
HD 209458 b,Emission,Diamond-Lowe et al. 2014,4,Infrared Array Camera (IRAC),Spitzer Space Telescope,3.6,8.0,,,eclipse depth taken from Abstract
HD 209458 b,Emission,Line et al. 2016,10,Wide Field Camera 3,Hubble Space Telescope satellite,1.151,1.624,,,Table 2
HD 209458 b,Emission,Changeat et al. 2022,6,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,24.0,,,Figure 2
HD 209458 b,Emission,Changeat et al. 2022,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Figure 2
HD 209458 b,Transmission,Evans et al. 2015,8,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,2454458.5873,2455216.4056,
HD 209458 b,Transmission,Deming et al. 2013,28,Wide Field Camera 3,Hubble Space Telescope satellite,1.119,1.628,2456196.2893,2456196.2893,
HD 209458 b,Transmission,Sing et al. 2016,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.56,4.5,,,
HD 209458 b,Transmission,Sing et al. 2016,93,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.3072,0.9475,,,
HD 209458 b,Transmission,Sing et al. 2016,29,Wide Field Camera 3,Hubble Space Telescope satellite,1.1217,1.6391,,,
HD 209458 b,Transmission,Changeat et al. 2022,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Figure 2
HD 209458 b,Transmission,Panek et al. 2023,20,Wide Field Camera 3,Hubble Space Telescope satellite,1.0994,1.6616,,,
HD 97658 b,Transmission,Knutson et al. 2014,28,Wide Field Camera 3,Hubble Space Telescope satellite,1.132,1.622,2456665.4668,2456665.4668,
HD 97658 b,Transmission,Edwards et al. 2023,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6294,,,G141
Qatar-1 b,Emission,Croll et al. 2015,1,WIRCam,3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory,2.15,2.15,,,"Table 5, Qatar-1 Ks band"
Qatar-1 b,Emission,Garhart et al. 2018,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Table 1
Qatar-1 b,Transmission,von Essen et al. 2017,12,GMOS,Association of Universities for Research in Astronomy (AURA) 8.1m Frederick C. Gillett Gemini North Telescope at Mauna Kea Observatory,0.53,0.704,,,
Qatar-1 b,Transmission,Jiang et al. 2023,40,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.53,0.92,,,
TrES-1 b,Emission,Cubillos et al. 2014,5,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,16.0,,,eclipse depth taken from Abstract
TrES-1 b,Emission,Charbonneau et al. 2005,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,8.0,,,"Bright. temp from text, Section 4, 2nd para."
TrES-3 b,Emission,Christiansen et al. 2011,1,High Resolution Imager (HRI),Deep Impact spacecraft,0.65,0.65,,,Table 6
TrES-3 b,Emission,Fressin et al. 2010,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Table 1
TrES-3 b,Emission,Croll et al. 2010,1,Wide-field Infrared Camera (WIRCam),3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory,2.146,2.146,,,"Table 1, MCMC Ks-band Solution"
TrES-3 b,Emission,Changeat et al. 2022,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Figure 2
TrES-3 b,Emission,Changeat et al. 2022,18,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6237,,,Figure 2
TrES-3 b,Transmission,Ricci et al. 2017,1,MEXMAN,National Autonomous University of Mexico (UNAM) 0.84m Telescope at El Observatorio Astronomico Nacional/Sierra San Pedro Martir (OAN/SPM),0.894,0.894,,,
TrES-3 b,Transmission,Ricci et al. 2017,2,Multiple Instruments,Multiple Observatories,0.63,0.9222,,,
TrES-3 b,Transmission,Ricci et al. 2017,3,SBIG STL-1301E,University of Monterrey (UDEM) 0.36m telescope at Observatorio de la Universidad de Monterrey,0.5537,0.7886,,,
TrES-4 b,Emission,Knutson et al. 2009,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Table 1
TrES-4 b,Transmission,Ranjan et al. 2014,10,Wide Field Camera 3,Hubble Space Telescope satellite,1.1225,1.638,,,
TrES-4 b,Transmission,Edwards et al. 2023,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6294,,,G141
TrES-4 b,Transmission,Jiang et al. 2023,40,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.53,0.92,,,
WASP-10 b,Emission,Cruz et al. 2015,1,OMEGA2000,Max Planck Institute for Astronomy and Institute of Astrophysics of Andalusia (CSIC) 3.5m Telescope at Calar Alto Observatory,2.159,2.159,,,eclipse depth taken from Abstract
WASP-10 b,Emission,Kammer et al. 2015,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,Table 3
WASP-10 b,Transmission,Jiang et al. 2023,31,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.43,0.78,,,
WASP-12 b,Emission,Stevenson et al. 2014,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Table 3
WASP-12 b,Emission,Stevenson et al. 2014,11,Wide Field Camera 3,Hubble Space Telescope satellite,1.125,1.625,,,Table 3
WASP-12 b,Emission,L&oacute;pez-Morales et al. 2010,1,Seaver Prototype Imaging camera (SPICam),Astrophysical Research Consortium (ARC) 3.5m Telescope At Apache Point Observatory (APO),0.9,0.9,,,"text, Section 3, 2nd paragraph"
WASP-12 b,Emission,Croll et al. 2011,3,Wide-field Infrared Camera (WIRCam),3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory,1.253,2.146,,,eclipse depth taken from Abstract
WASP-12 b,Emission,Crossfield et al. 2012,20,SpeX,Infrared Telescope Facility,1.5375,2.3375,,,Table 2
WASP-12 b,Emission,Croll et al. 2015,1,WIRCam,3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory,1.04,1.04,,,"Table 5, WASP-12 Y band, Actual Eclipse Depth"
WASP-12 b,Emission,Croll et al. 2015,1,WIRCam,3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory,2.22,2.22,,,"Table 5, WASP-12 K_CONT band, Actual Eclipse Depth"
WASP-12 b,Emission,Croll et al. 2015,1,WIRCam,3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory,2.15,2.15,,,"Table 5, WASP-12 Ks band combined, Actual Eclipse"
WASP-12 b,Emission,Changeat et al. 2022,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Figure 2
WASP-12 b,Emission,Changeat et al. 2022,18,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6237,,,Figure 2
WASP-12 b,Transmission,Sing et al. 2013,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,2454508.977,2454508.977,
WASP-12 b,Transmission,Sing et al. 2013,21,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.335,1.631,2454508.977,2454508.977,
WASP-12 b,Transmission,Stevenson et al. 2014,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,,,
WASP-12 b,Transmission,Stevenson et al. 2014,29,Wide Field Camera 3,Hubble Space Telescope satellite,0.728,1.625,,,
WASP-12 b,Transmission,Copperwheat et al. 2013,3,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.3557,0.601,2454836.4033,2454836.4033,
WASP-12 b,Transmission,Mandell et al. 2013,19,Wide Field Camera 3,Hubble Space Telescope satellite,1.145,1.633,2455663.6997,2455663.6997,
WASP-12 b,Transmission,Kreidberg et al. 2015,13,Wide Field Camera 3,Hubble Space Telescope satellite,0.867,1.6315,,,
WASP-12 b,Transmission,Changeat et al. 2022,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6294,,,Figure 2
WASP-14 b,Transmission,Wong et al. 2015,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,2456034.2123,2456043.1871,
WASP-17 b,Transmission,Bento et al. 2014,3,ULTRACAM,New Technology Telescope,0.365,0.658,2454558.6853,2454558.6853,
WASP-17 b,Transmission,Mandell et al. 2013,19,Wide Field Camera 3,Hubble Space Telescope satellite,1.128,1.634,2455750.7948,2455750.7948,
WASP-17 b,Transmission,Wood et al. 2011,2,GIRAFFE,The Very Large Telescope,0.589,0.5896,,,
WASP-17 b,Transmission,Sing et al. 2016,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.56,4.5,,,
WASP-17 b,Transmission,Sing et al. 2016,25,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.34,0.985,,,
WASP-17 b,Transmission,Sing et al. 2016,12,Wide Field Camera 3,Hubble Space Telescope satellite,1.1319,1.6423,,,
WASP-17 b,Transmission,Sedaghati et al. 2016,41,FORS2,Very Large Telescope (Antu),0.575,0.795,2457192.698,2457192.698,
WASP-17 b,Transmission,Saba et al. 2022,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.56,4.5,,,Reduced and Fitted Spectral Data Using TLCD-LSTM
WASP-17 b,Transmission,Saba et al. 2022,7,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.57,0.87,2456370.5,2456370.5,Reduced and Fitted Using Iraclis - visit 3
WASP-17 b,Transmission,Saba et al. 2022,9,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.385,0.56,2456366.5,2456366.5,Reduced and Fitted Using Iraclis - visit 2
WASP-17 b,Transmission,Saba et al. 2022,9,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.385,0.56,2456086.5,2456086.5,Reduced and Fitted Using Iraclis - visit 1
WASP-17 b,Transmission,Saba et al. 2022,39,Wide Field Camera 3,Hubble Space Telescope satellite,0.813,1.629,,,Reduced and Fitted Spectral Data Using Iraclis
WASP-17 b,Transmission,Grant et al. 2023,28,Mid-Infrared Instrument (MIRI) - LRS,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,5.125,11.875,,,ExoTiC-MIRI pipeline
WASP-17 b,Transmission,Grant et al. 2023,28,Mid-Infrared Instrument (MIRI) - LRS,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,5.125,11.875,,,Eureka! pipeline
WASP-17 b,Transmission,Panek et al. 2023,20,Wide Field Camera 3,Hubble Space Telescope satellite,1.0994,1.6616,,,
WASP-18 b,Emission,Nymeyer et al. 2010,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Table 2
WASP-18 b,Emission,Zhou et al. 2015,1,IRIS2,Anglo Australian Telescope,2.159,2.159,,,Table 2
WASP-18 b,Emission,Arcangeli et al. 2018,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Table 1
WASP-18 b,Emission,Arcangeli et al. 2018,14,Wide Field Camera 3,Hubble Space Telescope satellite,1.156,1.583,,,Table 1
WASP-18 b,Emission,Sheppard et al. 2017,1,IRIS2,Anglo Australian Telescope,2.15,2.15,,,Table 1
WASP-18 b,Emission,Sheppard et al. 2017,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Table 1
WASP-18 b,Emission,Sheppard et al. 2017,29,Wide Field Camera 3,Hubble Space Telescope satellite,1.127,1.647,,,Table 1
WASP-18 b,Emission,Coulombe et al. 2023,408,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.8543,2.827,,,supreme-SPOON pipeline
WASP-18 b,Emission,Coulombe et al. 2023,408,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.8543,2.827,,,NAMELESS pipeline
WASP-18 b,Emission,Coulombe et al. 2023,408,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.8744,2.8412,,,transitspectroscopy pipeline
WASP-18 b,Emission,Coulombe et al. 2023,408,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.8543,2.827,,,nirHiss pipeline
WASP-18 b,Emission,Changeat et al. 2022,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Figure 2
WASP-18 b,Emission,Changeat et al. 2022,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Figure 2
WASP-18 b,Transmission,Changeat et al. 2022,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6294,,,Figure 2
WASP-18 b,Transmission,Edwards et al. 2023,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6294,,,G141
WASP-19 b,Emission,Zhou et al. 2013,1,Merope 2Kx2K,Las Cumbres Observatory Global Telescope Network (LCOGTN) 2m Faulkes Telescope South at Siding Spring Observatory (SSO),0.866,0.866,,,eclipse depth taken from Abstract
WASP-19 b,Emission,Gibson et al. 2010,1,High Acuity Wide-field K-band Imager (HAWK-I),European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Yepun at Paranal Observatory,2.095,2.095,,,eclipse depth taken from Abstract
WASP-19 b,Emission,Anderson et al. 2013,6,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,1.6,8.0,,,Table 3
WASP-19 b,Emission,Zhou et al. 2014,1,IRIS2,Australian National University (ANU) 3.9m Anglo-Australian Telescope (AAT) at Siding Spring Observatory (SSO),2.144,2.144,,,Table 3
WASP-19 b,Emission,Changeat et al. 2022,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,,,Figure 2
WASP-19 b,Emission,Changeat et al. 2022,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,,,Figure 2
WASP-19 b,Transmission,Mancini et al. 2013,1,DFOSC imager,Danish 1.54m telescope at European Southern Observatory,0.6469,0.6469,,,
WASP-19 b,Transmission,Mancini et al. 2013,4,GROND,Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory,0.4858,0.9222,,,
WASP-19 b,Transmission,Mancini et al. 2013,1,,0.3-m Perth Exoplanet Survey Telescope,0.6469,0.6469,,,
WASP-19 b,Transmission,Zhou et al. 2013,1,Merope 2Kx2K,Faulkes Telescope South,0.866,0.866,2456291.059,2456291.059,
WASP-19 b,Transmission,Mandell et al. 2013,19,Wide Field Camera 3,Hubble Space Telescope satellite,1.118,1.624,2455744.0323,2455744.0323,
WASP-19 b,Transmission,Huitson et al. 2013,4,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.58,0.9295,,,
WASP-19 b,Transmission,Huitson et al. 2013,6,Wide Field Camera 3,Hubble Space Telescope satellite,1.137,1.637,,,
WASP-19 b,Transmission,Bean et al. 2013,9,MMIRS,Magellan II Landon Clay Telescope,1.29,2.3,,,
WASP-19 b,Transmission,Tregloan-Reed et al. 2013,3,EFOSC2,New Technology Telescope,0.6814,0.6814,2455251.7963,2455255.7404,
WASP-19 b,Transmission,Sedaghati et al. 2015,27,FORS2,Very Large Telescope (Antu),0.56,0.82,,,
WASP-19 b,Transmission,Lendl et al. 2013,3,EulerCam,The Swiss Euler 1.2m Telescope,0.664,0.9124,,,
WASP-19 b,Transmission,Lendl et al. 2013,1,TRAPPISTCam,La Silla Observatory's 60-cm TRAPPIST Telescope,0.838,0.838,,,
WASP-19 b,Transmission,Wong et al. 2016,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,2455777.1629,2455787.4179,
WASP-19 b,Transmission,Changeat et al. 2022,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6294,,,Figure 2
